word	emo_score	emotion
(-;	1	posi
(;_;)	-1	nega
(^^)	1	posi
(^-^)	1	posi
(^^*	1	posi
(^_^)	1	posi
(^_^;	-1	nega
(^o^)	1	posi
(-_-)	-1	nega
(T_T)	-1	nega
(ㅡㅡ)	-1	nega
)-:	-1	nega
*^^*	1	posi
/^o^\	1	posi
:(	1	posi
:'-(	1	posi
:-(	1	posi
:)	-1	nega
:-)	1	posi
:/	-1	nega
:|	1	posi
:D	-1	nega
:-D	-1	nega
:-P	-1	nega
;	1	posi
;)	1	posi
;-)	1	posi
;ㅅ;	-1	nega
^///^	1	posi
^^	1	posi
^^//	1	posi
^-^;	-1	nega
^-^;;	-1	nega
^-^;;;;;	-1	nega
-_-^	-1	nega
<3	1	posi
=)	1	posi
XD	1	posi
ㄱㅅ	1	posi
ㄱㅇㄷ	1	posi
가격이 싸다	1	posi
가까이 사귀어	1	posi
가까이하다	1	posi
가꾸러뜨리다	-1	nega
가꾸러트리다	-1	nega
가난	-2	nega
가난뱅이	-2	nega
가난살이	-2	nega
가난살이하다	-2	nega
가난설음	-2	nega
가난에	-2	nega
가난에 쪼들려서	-2	nega
가난하게	-2	nega
가난하고	-2	nega
가난하고 어렵다	-2	nega
가난하고 천한	-2	nega
가난하다	-2	nega
가난하여	-2	nega
가난한	-2	nega
가난한 데다가	-2	nega
가난한 사람을	-2	nega
가난히	-2	nega
가년스럽다	-2	nega
가념하다	-1	nega
가녕스럽다	-2	nega
가누기 어려워하다	-1	nega
가누지 못하고	-2	nega
가누지 못하다	-2	nega
가누지 못할	-2	nega
가누지 못할 정도로	-2	nega
가누지 못함	-2	nega
가눌 수 없게	-2	nega
가눌 수 없을	-2	nega
가눌 수 없이	-2	nega
가능성이 늘어나다	2	posi
가능성이 있다고	2	posi
가능하다	2	posi
가닐가닐하다	-1	nega
가다듬어	1	posi
가다듬어 수습하는	1	posi
가다듬어 수습하다	1	posi
가다듬어 정하다	1	posi
가당찮다	-2	nega
가당찮이	-2	nega
가당히	1	posi
가두거나	-1	nega
가두거나 해치거나	-2	nega
가드올려	-1	nega
가뜬하게	1	posi
가라앉혀 바로잡다	1	posi
가래	-1	nega
가래 따위가	-1	nega
가래가	-1	nega
가래가 섞인	-1	nega
가량맞고	-1	nega
가량맞고 야살스러운	-1	nega
가량맞고 야살스러움	-1	nega
가려서 좋아하다	-1	nega
가려운	-1	nega
가려운 느낌이	-1	nega
가려운 증상을	-1	nega
가련하게	-1	nega
가련하게 여기다	-1	nega
가련하게 여김	-1	nega
가련한	-1	nega
가련한 듯하다	-1	nega
가렵고	-1	nega
가로막아서	-1	nega
가로채서	-1	nega
가로채어	-1	nega
가르치며	1	posi
가르침	1	posi
가리지 못하다	-1	nega
가마득하다	-1	nega
가만있지 못하고	-1	nega
가망 없는	-1	nega
가망이 없게	-2	nega
가벼운 마음으로	1	posi
가벼운 말이나	-1	nega
가벼운 상처	-1	nega
가벼운 슬픔	-1	nega
가벼운 행동으로	-1	nega
가볍게	-1	nega
가볍게 까부는	-1	nega
가볍게 까불다	-1	nega
가볍게 쑤시듯	-1	nega
가볍게 웃다	1	posi
가볍게 채신없이	-1	nega
가볍게 행동하거나	-1	nega
가볍게 행동하는	-1	nega
가볍게 행동하다	-1	nega
가볍고	1	posi
가볍고 보드랍게	1	posi
가볍고 상쾌하다	2	posi
가볍고 상쾌한	2	posi
가볍고 시원하게	2	posi
가볍고 편안하게	2	posi
가볍고 환하게	2	posi
가분가분	1	posi
가분히	1	posi
가뿐가뿐	1	posi
가뿐가뿐하다	1	posi
가뿐가뿐히	1	posi
가뿐하게	1	posi
가뿐하다	1	posi
가뿐한	1	posi
가뿐한 느낌	1	posi
가뿐한 느낌이	1	posi
가뿐히	1	posi
가쁘게	-1	nega
가쁘게 쉬다	-1	nega
가쁘고	-1	nega
가쁘고 거칠게	-1	nega
가쁘고 급하게	-1	nega
가쁜	-1	nega
가쁜 증상	-1	nega
가살스럽다	-1	nega
가소롭게	-1	nega
가소롭다	-1	nega
가스 중독이나	-1	nega
가슴 아파하다	-2	nega
가슴 아파함	-2	nega
가슴 아프게	-2	nega
가슴 아프고	-2	nega
가슴 아프다	-2	nega
가슴속에 근심이나	-2	nega
가슴앓이	-2	nega
가슴앓이하다	-2	nega
가슴이 갑갑할	-2	nega
가슴이 괴롭거나	-2	nega
가슴이 그득한	-2	nega
가슴이 답답하고	-2	nega
가슴이 답답하다	-2	nega
가슴이 답답하며	-2	nega
가슴이 답답하여	-1	nega
가슴이 답답한	-1	nega
가슴이 답답해진다	-1	nega
가슴이 아프다	-2	nega
가슴이 아픈	-2	nega
가슴이 울렁거리는	-2	nega
가슴이 울렁거리다	-2	nega
가슴이 찢어질	-2	nega
가습이 답답하고	-1	nega
